StudentID,LastName,FirstName,CumGPA,BcpmGPA,MMICalc,RosterYear,GraduationYear,Graduated,GraduationLength,Status
317,,,3.63,,0.79,2015,2019,True,4.0,Grad
358,,,3.69,,0.71,2015,2019,True,4.0,Grad
904,,,3.48,,0.7,2015,2019,True,4.0,Grad
726,,,3.63,,0.72,2015,2019,True,4.0,Grad
101,,,4.0,,0.68,2015,2019,True,4.0,Grad
671,,,3.77,,0.78,2015,2019,True,4.0,Grad
895,,,4.0,,0.68,2015,2019,True,4.0,Grad
241,,,4.0,,0.86,2015,2019,True,4.0,Grad
371,,,3.94,,,2015,2019,True,4.0,Grad
651,,,3.45,,0.7,2015,2020,True,5.0,Grad Delayed (enrich)
669,,,3.56,,0.66,2015,2019,True,4.0,Grad
246,,,3.36,,0.81,2015,2019,True,4.0,Grad
422,,,3.54,,0.71,2015,2019,True,4.0,Grad
709,,,3.95,,0.76,2015,2019,True,4.0,Grad
779,,,3.54,,0.71,2015,2019,True,4.0,Grad
535,,,3.66,,0.81,2015,2019,True,4.0,Grad
501,,,3.34,,0.65,2015,2019,True,4.0,Grad
498,,,4.0,,,2015,2021,True,6.0,Grad Delayed (enrich)
674,,,3.22,,0.82,2015,2019,True,4.0,Grad
359,,,3.27,,0.76,2015,2019,True,4.0,Grad
531,,,3.99,,0.71,2015,2019,True,4.0,Grad
468,,,3.56,,0.71,2015,2019,True,4.0,Grad
169,,,3.7,,0.81,2015,2020,True,5.0,Grad Delayed (enrich)
817,,,3.25,,0.79,2015,2019,True,4.0,Grad
542,,,3.91,,0.78,2015,2019,True,4.0,Grad
119,,,3.43,,,2016,,False,,Drop
362,,,3.5,,0.75,2016,,False,,Drop
807,,,3.72,,0.68,2016,2020,True,4.0,Grad
385,,,3.54,,,2016,2020,True,4.0,Grad
316,,,3.92,,0.68,2016,2021,True,5.0,Grad Delayed (enrich)
406,,,3.16,,0.72,2016,2020,True,4.0,Grad
696,,,3.75,,0.8,2016,2020,True,4.0,Grad
376,,,3.92,,0.81,2016,2020,True,4.0,Grad
451,,,3.88,,0.75,2016,2020,True,4.0,Grad
352,,,3.7,,,2016,2020,True,4.0,Grad
540,,,3.47,,0.73,2016,2020,True,4.0,Grad
